"","Point.Forecast","Lo.95","Hi.95"
"Oct 2023",784.807133676504,558.548111814541,1011.06615553847
"Nov 2023",772.76345231928,541.711931697192,1003.81497294137
"Dec 2023",642.249390960006,406.331124091784,878.167657828228
"Jan 2024",643.163005004027,406.592386865757,879.733623142296
"Feb 2024",738.485310379219,501.626994584288,975.343626174151
"Mar 2024",791.684428314232,554.764780660933,1028.60407596753
"Apr 2024",777.592490243222,540.652890269229,1014.53209021721
"May 2024",938.622139524388,701.677526757855,1175.56675229092
"Jun 2024",1038.55560668469,801.609522458121,1275.50169091125
"Jul 2024",1050.20108454639,813.254608871075,1287.1475602217
"Aug 2024",1185.42015851709,948.473576606445,1422.36674042774
"Sep 2024",1060.29316194374,823.346572768934,1297.23975111855
"Oct 2024",827.223158062045,587.138147910468,1067.30816821362
"Nov 2024",799.741830364413,559.523230604945,1039.96043012388
"Dec 2024",661.017232448216,420.660713429011,901.37375146742
